PrevVol Multi,Waterfall,Trades,Win Rate (%),Total PnL (%),Max DD (%)
1.0x,-0.3%,560,45.2%,-32.34%,46.17%
1.0x,-0.5%,581,44.6%,-50.03%,60.89%
1.0x,-0.8%,588,43.9%,-48.74%,71.01%
1.0x,-1.0%,591,44.5%,-42.64%,70.18%
1.2x,-0.3%,472,45.6%,-30.29%,43.07%
1.2x,-0.5%,486,45.1%,-44.07%,52.07%
1.2x,-0.8%,496,44.6%,-37.08%,57.21%
1.2x,-1.0%,499,45.3%,-31.50%,56.89%
1.5x,-0.3%,355,45.6%,-20.04%,32.49%
1.5x,-0.5%,369,45.5%,-25.95%,37.01%
1.5x,-0.8%,380,44.7%,-20.55%,26.50%
1.5x,-1.0%,383,45.4%,-19.12%,29.42%
2.0x,-0.3%,231,47.6%,-4.79%,10.77%
2.0x,-0.5%,244,48.0%,-8.79%,13.31%
2.0x,-0.8%,253,46.6%,-3.95%,13.31%
2.0x,-1.0%,258,47.7%,-1.97%,13.50%
